1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P 3P 2P 3P 2P 1S 2D 3F 4F 5D NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2P 1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P 3P 2P 3P 2P 1S 2D 3F 4F NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3P 2P 1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D 6S NA 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D 4P 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P 3P 2P 3P 2P 1S 2D 3F NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4S 3P 2P 1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA NA 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 3P NA 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P 3P 2P 3P 2P 1S 2D NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3P 4S 3P 2P 1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA NA 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P 3P 2P 3P 2P 1S NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2P 3P 4S 3P 2P 1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA NA 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P 3P 2P 3P 2P NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1S 2P 3P 4S 3P 2P 1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA NA 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P 3P 2P 3P NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2S 1S 2P 3P 4S 2P 2P 1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA NA 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P 3P 2P NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1S 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA NA 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P 3P NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2D 3F 4F 5D 6S 5D 4F 3F 2D 1S 2P 3P 4S 3P 2P 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2S NA 2S 1S 2S 1S 2P 3P NA 3P 2P 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA NA 4F 3F 2D 1S 2S 1S 2P 3P 4S 3P 2P 1S 2D 3F 4F 5D NA 5D 4F 3F 2D 1S 2F 3H 4I 5I 6H 7F 8S 7F 6H 5I 4I NA 2F 1S 2S 1S 2P NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
